中分類,小分類,数量,金額,数量累計,金額累計
11,1197,332,173474,332,173474
11,1121,2430,1122457,2762,1295931
11,1120,960,411380,3722,1707311
11,1119,2791,1262170,6513,2969481
11,1118,1125,435023,7638,3404504
11,1117,938,489566,8576,3894070
11,1116,1144,542858,9720,4436928
11,1115,2194,1106249,11914,5543177
11,1114,212,80084,12126,5623261
11,1113,1150,445836,13276,6069097
11,1112,1450,732630,14726,6801727
11,1111,1768,744427,16494,7546154
11,1110,1478,577858,17972,8124012
11,1108,1157,410367,19129,8534379
11,1107,1946,911273,21075,9445652
11,1106,1100,484361,22175,9930013
11,1105,2847,1611468,25022,11541481
11,1104,2019,1024216,27041,12565697
11,1103,1160,500887,28201,13066584
11,1102,1698,732146,29899,13798730
11,1101,3758,1526511,33657,15325241
12,1297,160,83802,160,83802
12,1203,10,4495,170,88297
12,1202,62,24718,232,113015
12,1201,191,90786,423,203801
13,1304,591,293284,591,293284
13,1303,532,246968,1123,540252
13,1302,567,306470,1690,846722
13,1301,3950,1866912,5640,2713634
14,1497,352,145054,352,145054
14,1406,3413,1641330,3765,1786384
14,1404,1097,505196,4862,2291580
14,1403,3093,1255886,7955,3547466
14,1402,1321,673276,9276,4220742
14,1401,1843,810577,11119,5031319
